GeoFIPS,GeoName,Region,LineCode,Description,Unit,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""22000""",Louisiana,5,1,All industry total,Millions of current dollars,236540.4,236022.1,234513.5,230120.3,225446.9,226916.5,226930,229613.3,234651.8,236489.1,240334,245342.4,251744.8,256654.9,259272.8,261478.5,260428.1,263094.2,264853.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""23000""",Maine,1,1,All industry total,Millions of current dollars,56364.2,57353.3,57794.4,58590.8,58542.1,59833.8,59925.7,60714.2,61191.7,61430.1,62370.6,63168.6,63697.9,64746.4,65434.3,65545.5,66589.8,67137.9,67905.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""24000""",Maryland,2,1,All industry total,Millions of current dollars,362502.7,364521.1,368857.3,372504.9,377432.5,383925,387512.4,390686.5,389499.1,391216.6,395281.9,401036.7,405572.7,412084.7,414703.9,417975.6,422247.3,426407.3,430388.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""25000""",Massachusetts,1,1,All industry total,Millions of current dollars,493773.5,502593.9,504713.1,510351.7,509741,517283.4,524704.7,525901.4,529771.8,536709,545175.9,551487.6,558472,568220.1,573506.4,577753.7,586347.5,592587.9,599091.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""26000""",Michigan,3,1,All industry total,Millions of current dollars,464659.6,473027.4,478702.7,480815.8,482014.8,492089.3,493489.4,499503.3,500147.6,503004.7,506250.1,512842.3,519926,526008.7,530613.5,531835,534426.7,539231.7,543976.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""27000""",Minnesota,4,1,All industry total,Millions of current dollars,327207.7,327639.7,330535.3,332589.9,331297.7,336145.1,343333.5,345624.2,349261.5,349757.5,350522.3,356125.8,360356.8,367676.1,372694.5,374682.1,375032.1,379387.3,383093.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""28000""",Mississippi,5,1,All industry total,Millions of current dollars,104678.3,105908.8,106648.3,106298.3,106788.6,106945.8,106826.7,107825.1,109269.1,109223,110399,112002.5,112673.8,114940.3,115471,116251.6,116930.1,118263,119497.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""29000""",Missouri,4,1,All industry total,Millions of current dollars,292081.5,295204.8,297262.8,294629.3,296057.8,297008.1,297297.7,299966.8,299665.5,303306.2,306496.9,310316.2,312514.3,319013.2,321184.4,322971.9,326693.8,330532.2,334286.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""30000""",Montana,7,1,All industry total,Millions of current dollars,46017.4,46554.9,46533.9,45505.3,45151.9,45005.2,45379.5,46295.2,46735.7,47477.2,47783.2,48240.2,49190.4,50111,50615.5,51389.5,51326,51932.7,52470.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""31000""",Nebraska,4,1,All industry total,Millions of current dollars,113550.2,115455,116330.1,115976.6,114444.6,115635.6,116567,118128.1,118608.2,120577.6,121136.1,121747.6,123942.3,124053.4,123225.8,124690,124785.9,126321.9,127940.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""32000""",Nevada,8,1,All industry total,Millions of current dollars,140086.5,143913.1,145665.2,147264.7,147545.2,149369.7,154407.8,153537.6,156338.2,157431.5,160586.7,161034,165443.1,167929.1,170349.4,173518,174568.7,176861.8,178621.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""33000""",New Hampshire,1,1,All industry total,Millions of current dollars,73880.6,75947,76317.5,77988.1,77443.4,78478.8,79105.3,78884.3,79606.3,80045.7,81959.8,81988.9,83378.6,84268.9,85132.6,85075.4,87243.8,88147.3,89152.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""34000""",New Jersey,2,1,All industry total,Millions of current dollars,563708.9,569279.2,573378.8,572351.3,579159.1,580383.9,584161.1,586006,586700,592552.8,599786.7,602258.5,612202.1,620066.1,625747.2,629995.9,636067.6,641902.2,648984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""35000""",New Mexico,6,1,All industry total,Millions of current dollars,90896.7,91432.3,91081.1,90466,89268.9,91082.9,91447.9,92374.7,93027.8,93373.3,94555.5,96111.9,97488.9,99742.1,101585.8,102370.5,102579.1,103814,104349.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""36000""",New York,2,1,All industry total,Millions of current dollars,1469900.6,1495699.9,1503449.4,1481966.4,1525136.4,1541157.5,1539131.7,1552795.3,1587759.4,1586852.6,1605534.5,1636387.8,1643465.7,1668085.1,1683970,1679944,1707519.5,1727702.6,1740745.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""37000""",North Carolina,5,1,All industry total,Millions of current dollars,496283.1,503470.9,507496.4,507264.8,512584.2,515623.5,520456,527824.8,531990.6,533935.3,539707.7,547972.7,551999.7,563370.8,566922.7,572469,578700.3,585050.2,590710.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""38000""",North Dakota,4,1,All industry total,Millions of current dollars,56813.7,55604,54410.9,53220.1,50770.3,50565.2,50969,51028.1,51643.6,52623.2,52326.4,53295.9,54380.5,55963,57018,56967.6,56609.1,57031.5,57106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""39000""",Ohio,3,1,All industry total,Millions of current dollars,604551.1,610892.8,611836.4,615808.8,611334,620994.6,626571,632441,635926.6,641110.9,648748.5,655517.9,662321,673078.1,682922.3,685299.4,689542.4,696087.8,701438.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""40000""",Oklahoma,6,1,All industry total,Millions of current dollars,188030.8,185986.8,186339.6,183389.7,176784.4,179023.4,179366.5,180478.6,184539.9,187677.5,188710.9,192544.2,198108.1,201870.7,204383.7,205854,204458.3,206139.3,206254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
